PartNumber,Description,Area (ft^2),Price
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.87,900
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.04,12000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.52,14000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.18,3000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,14.35,400
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.92,2000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.44,300
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,2.75,2000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,8.92,10000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.63,500
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.08,1700
100-00261,CALIX DS1 Plug-In Card 12 Port,0.55,1800
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,3.96,9000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.5,110000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.9,150000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.77,1300
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.44,1000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.47,8000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.42,180000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,14.4,1000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,13.0,10000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.09,2000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.3,1000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.12,2000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.22,20000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,4.16,22000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.7,300
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.93,4000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,5.55,900
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.36,1300
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.13,1000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,4.29,15000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.03,70000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.49,150000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.56,1300
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.89,18400
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.1,3000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,5.42,4000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,11.17,1000
NT3P64CA,Nortel RACK,11.88,13000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,5.44,5000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,9.9,85000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.64,1000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,10.55,85000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,13.33,10000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.92,1700
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.19,14000
C72383,Nokia MEMORY MODULE,0.41,4000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,8.36,10000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.23,8000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.52,1000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.84,70000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.4,18400
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,14.35,400
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,5.85,15000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.73,28000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.88,1300
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.58,1700
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,6.73,900
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.74,18400
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,6.4,22000
TN1640,Lucent Circuit Pack Memory Data Link Board,1.41,6000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.76,4000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.68,1300
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.65,8000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.6,12000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.68,18400
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.09,900
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,12.97,1000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.02,1800
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.11,3000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.52,1300
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.76,1000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.66,1300
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,5.01,9000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,7.9,1000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,6.1,1000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.89,1700
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,2.14,3000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.6,300
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,11.43,2000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,8.84,400
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.66,180000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,12.33,2000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.59,900
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.61,6000
NT3P64CA,Nortel RACK,10.73,13000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.82,500
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.38,1200
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.0,1000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.51,500
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,5.11,5000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.76,70000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.92,1000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.41,4000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.58,300
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,12.7,1000
NT3P64CA,Nortel RACK,8.49,13000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.54,12000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.15,180000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.4,300
C72383,Nokia MEMORY MODULE,0.83,4000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.97,900
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.3,28000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.24,18400
TN1640,Lucent Circuit Pack Memory Data Link Board,0.76,6000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.8,28000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,2.54,1000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.52,3000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.83,1700
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,6.78,1000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,5.33,4000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,5.01,900
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.21,3000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.69,15000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,4.64,22000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.24,150000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.81,1200
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,2.36,28000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,12.71,85000
C72383,Nokia MEMORY MODULE,1.03,4000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,4.99,22000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,4.18,5000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,7.82,1000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.31,1000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,2.92,16000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.71,6000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,5.51,4000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,3.16,2000
NT3P64CA,Nortel RACK,14.26,13000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,14.82,2000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.92,1800
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.39,70000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.74,22000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.45,3000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.61,180000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.66,300
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.89,18400
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.75,1200
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.08,1500
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.08,180000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,12.47,10000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.05,12000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.33,2000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.67,1000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.47,28000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.75,28000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,4.91,9000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.97,18400
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.4,1000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.56,8000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.04,1300
C72383,Nokia MEMORY MODULE,0.86,4000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,4.91,1000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,7.95,1000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.64,14000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,6.11,1000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.22,1800
25A0076DA,Print General Office Monochrome laser 20-50ppm,2.64,3000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.06,70000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.3,12000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,3.11,5000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.81,3000
25A0076DA,Print General Office Monochrome laser 20-50ppm,2.39,3000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,2.24,700
NT3P64CA,Nortel RACK,11.82,13000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.55,6000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.33,1800
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,11.15,85000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.38,14000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,2.66,1000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.93,18400
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,6.27,4000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,3.36,16000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.39,15000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,3.23,5000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.61,2000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.6,150000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,2.32,16000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.89,70000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,6.85,2000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,11.36,85000
NT3P64CA,Nortel RACK,11.27,13000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.73,12000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.39,900
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,4.41,5000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.01,1700
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.61,28000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.05,20000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,5.14,9000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,11.1,85000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,14.46,400
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.47,1000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.11,12000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.46,22000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,9.17,400
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.34,8000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,8.12,85000
NT3P64CA,Nortel RACK,10.91,13000
TN1640,Lucent Circuit Pack Memory Data Link Board,1.23,6000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.03,15000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,5.72,900
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,13.1,10000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.6,14000
NT3P64CA,Nortel RACK,8.09,13000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,12.87,2000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.94,150000
NT3P64CA,Nortel RACK,13.44,13000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.84,6000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.52,4000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.82,6000
NT3P64CA,Nortel RACK,14.74,13000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.15,2000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.59,1500
25A0076DA,Print General Office Monochrome laser 20-50ppm,2.88,3000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,4.51,2000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.2,20000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,10.18,10000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,6.28,9000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,2.9,2000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,5.86,5000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.68,14000
NT3P64CA,Nortel RACK,14.97,13000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.78,1000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,2.24,3000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.74,18400
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.11,2000
TN1640,Lucent Circuit Pack Memory Data Link Board,1.12,6000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.38,300
TN1640,Lucent Circuit Pack Memory Data Link Board,0.85,6000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.09,6000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,2.08,700
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.29,180000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.23,6000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,6.55,900
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,4.14,4000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.34,1500
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,3.05,143000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.63,110000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.21,1800
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,11.75,400
C72383,Nokia MEMORY MODULE,0.36,4000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,3.33,1000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.3,6000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.29,1800
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.13,500
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,4.08,9000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.41,6000
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,7.17,22000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.8,14000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.52,6000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,7.09,2000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.71,22000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,3.35,2000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.43,150000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.5,1700
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.19,6000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.49,900
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.25,1000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.3,1200
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.39,1700
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,4.66,1000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,4.16,1000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.14,500
25A0076DA,Print General Office Monochrome laser 20-50ppm,2.73,3000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.13,12000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.42,4000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,4.95,15000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.86,1000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,3.49,2000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.61,6000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.5,1800
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,10.38,1000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.36,1700
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,14.34,85000
